"","db","query","superkingdom"
"232","ncbi","SCADC1-2-3",NA
"233","ncbi","SCGC-AB-539-J10",NA
"234","ncbi","SD04E11",NA
"235","ncbi","SDB",NA
"236","ncbi","SEEP-SRB1",NA
"237","ncbi","SEEP-SRB2",NA
"238","ncbi","SEEP-SRB4",NA
"239","ncbi","Sh765B-TzT-35",NA
"240","ncbi","SH-PL14",NA
"241","ncbi","Sideroxydans","Bacteria"
"242","ncbi","SM1A02",NA
"243","ncbi","SM23-31",NA
"244","ncbi","SN8",NA
"245","ncbi","SP3-e08",NA
"246","ncbi","SS1-B-09-64",NA
"247","ncbi","ST-3K26",NA
"248","ncbi","SV1-3",NA
"249","ncbi","SWB02",NA
"250","ncbi","Syner-01",NA
"251","ncbi","SZB85",NA
"252","ncbi","TG-45",NA
"253","ncbi","Thermopallium","Bacteria"
"254","ncbi","Thermopetrobacter","Bacteria"
"255","ncbi","Thioflexothrix","Bacteria"
"256","ncbi","TPD-58",NA
"257","ncbi","TSBb06",NA
"258","ncbi","TX1A-55",NA
"259","ncbi","Tyzzerella","Bacteria"
"260","ncbi","U29-B03",NA
"261","ncbi","UBA1819",NA
"262","ncbi","UBA6140",NA
"263","ncbi","UC5-1-2E3",NA
"264","ncbi","UCYN-C",NA
"265","ncbi","UKL13-1",NA
"266","ncbi","UTBCD1",NA
"267","ncbi","UTCFX1",NA
"268","ncbi","V38",NA
"269","ncbi","Verruc-01",NA
"270","ncbi","W15",NA
"271","ncbi","W5",NA
"272","ncbi","W5053",NA
"273","ncbi","wb1-A12",NA
"274","ncbi","wb1-P19",NA
"275","ncbi","WCHB1-32",NA
"276","ncbi","WDS1C4",NA
"277","ncbi","XBB1006",NA
"278","ncbi","XY-R5",NA
"279","ncbi","XZXXH163",NA
"280","ncbi","YB-42",NA
"281","ncbi","YT-3",NA
"282","ncbi","Z114MB74",NA
"283","ncbi","Z195MB87",NA
"284","ncbi","Z20",NA
"285","ncbi","Z-35",NA
"286","ncbi","ZOR0006",NA
