Candidatus Rickettsia amblyommii
Candidatus Rickettsia andeanae
Candidatus Rickettsia asemboensis
Candidatus Rickettsia barbariae
Candidatus Rickettsia hebeiii
Candidatus Rickettsia hungarica
Candidatus Rickettsia hoogstraalii
Candidatus Rickettsia kellyi
Candidatus Rickettsia kingi
Candidatus Rickettsia kotlanii
Candidatus Rickettsia liberiensis
Candidatus Rickettsia principis
Candidatus Rickettsia tarasevichiae
Candidatus Rickettsia tasmanensis
Candidatus Rickettsia vini
Candidatus Riegeria galateiae
Candidatus Riesia pediculicola
Candidatus Rohrkolberia cinguli
Candidatus Roseomonas massiliae
Candidatus Ruthia magnifica
Candidatus Scalindua arabica
Candidatus Scalindua brodae
Candidatus Scalindua pacifica
Candidatus Scalindua profunda
Candidatus Scalindua richardsii
Candidatus Scalindua sorokinii
Candidatus Scalindua wagneri
Candidatus Serratia symbiotica
Candidatus Similichlamydia latridicola
Candidatus Snodgrassella alvi
Candidatus Snodgrassella alvi
Candidatus Sodalis melophagi
Candidatus Sodalis pierantonius
Candidatus Sphaeronema italicum
Candidatus Stammerula tephritidis
Candidatus Steffania adelgidicola
Candidatus Streptomyces philanthi
Candidatus Sulcia muelleri
Candidatus Sulfurovum sediminum
Candidatus Symbiothrix dinenymphae
Candidatus Synechococcus spongiarum
Candidatus Tammella caduceiae
Candidatus Tenderia electrophaga
Candidatus Thermochlorobacter aerophilum
Candidatus Thiobios zoothamnicoli
Candidatus Thiodictyon syntrophicum
Candidatus Thioglobus singularis
Candidatus Thiomargarita joergensenii
Candidatus Thiomargarita nelsonii
Candidatus Thiophysa hinzei
Candidatus Thiopilula aggregata
Candidatus Thioturbo danicus
Candidatus Tremblaya phenacola
Candidatus Tremblaya princeps
Candidatus Troglogloea absoloni
Candidatus Uzinura diaspidicola
Candidatus Vallotia cooleyia
Candidatus Vallotia tarda
Candidatus Vallotia virida
Candidatus Veillonella atypica
Candidatus Vesicomyosocius okutanii
Candidatus Vestibaculum illigatum
Candidatus Vidania fulgoroideae
Candidatus Wolinella africanus
Candidatus Xenohaliotis californiensis
Candidatus Xiphinematobacter americani
Candidatus Xiphinematobacter brevicolli
Candidatus Xiphinematobacter rivesi
Candidatus Zinderia insecticola
