Mycobacterium hippocampi
Mycobacterium lepromatosis
Mycobacterium mungi
Mycobacterium paraterrae
Mycobacterium ratisbonense
Mycobacterium sherrisii
Mycobacterium shigaense
Mycobacterium sinense
Mycobacterium tilburgii
Mycobacterium visibilis
Mycoplasma feriruminatoris
Mycoplasma insons
Mycoplasma sphenisci
Mycoplasma volis
Mycoplasma vulturii
Mycoplasma zalophi
Nanoarchaeum equitans
Nanobacterium sanguineum
Natrialba wudunaoensis
Natronobacterium chahanensis
Natronobacterium innemongoliae
Neisseria skkuensis
Neoscardovia arbecensis
Nitratireductor lucknowense
Nitrosococcus watsonii
Nocardioides panaciterrulae
Nocardiopsis aegyptia
Nocardiopsis yanglingensis
Nonomuraea aegyptia
Nonomuraea terrinata
Nordella oligomobilis
Novosphingobium sediminis
Oceanicoccus sagamiensis
Oceaniovalibus guishaninsula
Oceanobacillus manasiensis
Oceanospirillum nioense
Oleomonas sagaranensis
Orientia chuto
Paenibacillus beijingensis
Paenibacillus brassicae
Paenibacillus donghaensis
Paenibacillus hongkongensis
Paenibacillus marinum
Paenibacillus senegalensis
Paenibacillus taohuashanense
Paenibacillus tezpurensis
Paenibacillus tylopili
Paenibacillus tyraminigenes
Paenibacillus xylaniclasticus
Paracoccus beibuensis
Paracoccus ferrooxidans
Paracoccus oceanense
Paracoccus siganidrum
Paracoccus zhejiangensis
Parastreptomyces abscessus
Parvopolyspora pallida
Pasteurella leonis
Pedobacter hainanensis
Pedobacter jeongneungensis
Pedobacter kyungheensis
Pedobacter namyangjuensis
Pedobacter xinjiangensis
Pedobacter yonginense
Pedobacter zeaxanthinifaciens
Pelagibacterium nitratireducens
Peptoniphilus grossensis
Peptoniphilus timonensis
Phenylobacterium mobile
Phenylobacterium zucineum
Phycicoccus ochangensis
Photobacterium atrarenae
Photobacterium lipolyticum
Photobacterium marinum
Phytobacter diazotrophicus
Piezobacter thermophilus
Pigmentiphaga soli
Pluralibacter gergoviae
Pluralibacter pyrinus
Pluraplasma granulum
Polyangium brachysporum
Polycyclovorans algicola
Polymorphum
Polymorphum gilvum
Pontibacter rhizosphera
Pontibacter salisaro
Ponticoccus gilvus
Porifericola rhodea
Porphyrobacter meromictius
Portibacter lacus
Porticoccus hydrocarbonoclasticus
Prescottella equi
Prescottia equi
Prevotella massiliensis
Propionivibrio militaris
Prosthecochloris indica
Protochlamydia naegleriophila
Pseudoalteromonas marinoglutinosa
Pseudoalteromonas spiralis
Pseudoalteromonas telluritireducens
Pseudomonas asturiensis
Pseudomonas andersonii
Pseudomonas batumici
Pseudomonas butanovora
Pseudomonas guezennei
Pseudomonas halosensibilis
Pseudomonas indoloxydans
Pseudomonas jinanensis
Pseudomonas linyingensis
Pseudomonas mesoacidophila
Pseudomonas nitritireducens
Pseudomonas raguenesii
Pseudomonas siderocapsa
Pseudonocardia antimicrobica
Pseudonocardia nantongensis
Pseudoscardovia suis
Pseudoscillatoria coralii
Pseudoxanthomonas icgebensis
Pseudoxanthomonas jiangsuensis
Psychrobacter muriicola
Psychroflexus lacisalsi
Psychrosinus fermentans
Pyrococcus abyssi
Pyrococcus kodakaraensis
Pyxicoccus fallax
Ramlibacter ginsenosidimutans
Rhizobium cauense
Rhizobium halotolerans
Rhizobium helanshanense
