"","db","query","superkingdom"
"1689","ncbi","Drosophila kikkawai","Eukaryota"
"1690","ncbi","Drosophila serrata","Eukaryota"
"1691","ncbi","Drosophila simulans","Eukaryota"
"1692","ncbi","Drosophila suzukii","Eukaryota"
"1711","ncbi","Entamoeba histolytica","Eukaryota"
"1727","ncbi","Entomophthora muscae","Eukaryota"
"1728","ncbi","Eogystia hippophaecolus","Eukaryota"
"1729","ncbi","Epeolus variegatus","Eukaryota"
"1730","ncbi","Ephemera danica","Eukaryota"
"1731","ncbi","Epinephelus fuscoguttatus","Eukaryota"
"1733","ncbi","Eriocheir sinensis","Eukaryota"
"1740","ncbi","Essigella californica","Eukaryota"
"1742","ncbi","Euanodontia ovum","Eukaryota"
"1767","ncbi","Eubostrichus topiarius","Eukaryota"
"1769","ncbi","Eucidaris tribuloides","Eukaryota"
"1772","ncbi","Eulimnogammarus violaceus","Eukaryota"
"1774","ncbi","Eutrema japonicum","Eukaryota"
"1781","ncbi","Extatosoma tiaratum","Eukaryota"
"1787","ncbi","Farfantepenaeus aztecus","Eukaryota"
"1788","ncbi","Fasciola hepatica","Eukaryota"
"1790","ncbi","Felis catus","Eukaryota"
"1819","ncbi","Formica aquilonia","Eukaryota"
"1820","ncbi","Formica cinerea","Eukaryota"
"1821","ncbi","Formica exsecta","Eukaryota"
"1822","ncbi","Formica fusca","Eukaryota"
"1823","ncbi","Formica pressilabris","Eukaryota"
"1824","ncbi","Formica truncorum","Eukaryota"
"1829","ncbi","Frankliniella occidentalis","Eukaryota"
"1837","ncbi","Gadus morhua","Eukaryota"
"1840","ncbi","Galloisiana yuasai","Eukaryota"
"1841","ncbi","Gambierdiscus polynesiensis","Eukaryota"
"1843","ncbi","Gammarus chevreuxi","Eukaryota"
"1844","ncbi","Gammarus pulex","Eukaryota"
"1864","ncbi","Gerris buenoi","Eukaryota"
"1866","ncbi","Gigantidas gladius","Eukaryota"
"1869","ncbi","Gleditsia sinensis","Eukaryota"
"1870","ncbi","Globodera pallida","Eukaryota"
"1876","ncbi","Glossina austeni","Eukaryota"
"1877","ncbi","Glossina fuscipes","Eukaryota"
"1881","ncbi","Glycera dibranchiata","Eukaryota"
"1882","ncbi","Glycera tridactyla","Eukaryota"
"1889","ncbi","Gossypium hirsutum","Eukaryota"
"1900","ncbi","Gryllus firmus","Eukaryota"
"1902","ncbi","Haemaphysalis longicornis","Eukaryota"
"1903","ncbi","Haemonchus placei","Eukaryota"
"1915","ncbi","Haliotis discus","Eukaryota"
"2003","ncbi","Halyomorpha halys","Eukaryota"
"2019","ncbi","Heliconius cydno","Eukaryota"
"2020","ncbi","Heliconius elevatus","Eukaryota"
"2021","ncbi","Heliconius hecale","Eukaryota"
"2022","ncbi","Heliconius ismenius","Eukaryota"
"2023","ncbi","Heliconius melpomene","Eukaryota"
"2024","ncbi","Heliconius numata","Eukaryota"
"2025","ncbi","Heliconius timareta","Eukaryota"
"2028","ncbi","Heterorhabditis indica","Eukaryota"
"2030","ncbi","Hevea brasiliensis","Eukaryota"
"2031","ncbi","Hirudo medicinalis","Eukaryota"
"2032","ncbi","Histoplasma capsulatum","Eukaryota"
"2036","ncbi","Homalodisca vitripennis","Eukaryota"
"2042","ncbi","Humulus lupulus","Eukaryota"
"2043","ncbi","Hyalella azteca","Eukaryota"
"2044","ncbi","Hyaloperonospora arabidopsidis","Eukaryota"
"2045","ncbi","Hydra vulgaris","Eukaryota"
"2052","ncbi","Hylaeus variegatus","Eukaryota"
"2053","ncbi","Hymenopellis incognita","Eukaryota"
"2059","ncbi","Hypsibius dujardini","Eukaryota"
"2060","ncbi","Ictalurus punctatus","Eukaryota"
"2061","ncbi","Ifremeria nautilei","Eukaryota"
"2078","ncbi","Ixodes scapularis","Eukaryota"
"2089","ncbi","Juncus effusus","Eukaryota"
"2144","ncbi","Larimichthys crocea","Eukaryota"
"2146","ncbi","Latrodectus geometricus","Eukaryota"
"2154","ncbi","Lepidonotothen nudifrons","Eukaryota"
"2155","ncbi","Lepisosteus oculatus","Eukaryota"
"2186","ncbi","Litopenaeus vannamei","Eukaryota"
"2189","ncbi","Locusta migratoria","Eukaryota"
"2191","ncbi","Loripes lacteus","Eukaryota"
"2198","ncbi","Lucilia cuprina","Eukaryota"
"2199","ncbi","Lucina pectinata","Eukaryota"
"2203","ncbi","Lygus lineolaris","Eukaryota"
"2219","ncbi","Lytechinus variegatus","Eukaryota"
"2223","ncbi","Macrotyloma uniflorum","Eukaryota"
"2229","ncbi","Malaclemys terrapin","Eukaryota"
"2232","ncbi","Maorithyas hadalis","Eukaryota"
"2278","ncbi","Mastotermes darwiniensis","Eukaryota"
"2279","ncbi","Medauroidea extradentata","Eukaryota"
"2281","ncbi","Megalopta genalis","Eukaryota"
"2284","ncbi","Melanocetus johnsoni","Eukaryota"
"2285","ncbi","Mengenilla moldrzyki","Eukaryota"
"2308","ncbi","Methocha articulata","Eukaryota"
"2334","ncbi","Microbotryum lychnidis-dioicae","Eukaryota"
"2335","ncbi","Microbotryum violaceum","Eukaryota"
"2397","ncbi","Mischocyttarus flavitarsis","Eukaryota"
"2402","ncbi","Monomorium pharaonis","Eukaryota"
"2408","ncbi","Mucor ambiguus","Eukaryota"
"2410","ncbi","Murgantia histrionica","Eukaryota"
"2459","ncbi","Naganishia albida","Eukaryota"
"2460","ncbi","Nannochloropsis gaditana","Eukaryota"
"2461","ncbi","Nannochloropsis oceanica","Eukaryota"
"2463","ncbi","Nannospalax galili","Eukaryota"
"2464","ncbi","Nasutitermes takasagoensis","Eukaryota"
"2491","ncbi","Nephila clavata","Eukaryota"
"2497","ncbi","Nicotiana benthamiana","Eukaryota"
"2537","ncbi","Noccaea caerulescens","Eukaryota"
"2604","ncbi","Odontotermes formosanus","Eukaryota"
"2606","ncbi","Oikopleura dioica","Eukaryota"
"2612","ncbi","Olavius algarvensis","Eukaryota"
"2613","ncbi","Olavius ilvae","Eukaryota"
"2615","ncbi","Oncorhynchus mykiss","Eukaryota"
"2616","ncbi","Ophiactis balli","Eukaryota"
"2617","ncbi","Ophiopholis aculeata","Eukaryota"
"2618","ncbi","Ophthalmotilapia ventralis","Eukaryota"
"2621","ncbi","Oreochromis niloticus","Eukaryota"
"2624","ncbi","Ornithodoros moubata","Eukaryota"
"2626","ncbi","Oryza sativa","Eukaryota"
"2627","ncbi","Oryzias latipes","Eukaryota"
"2643","ncbi","Osteoglossum bicirrhosum","Eukaryota"
"2644","ncbi","Ostrinia furnacalis","Eukaryota"
"2670","ncbi","Palythoa caribaeorum","Eukaryota"
"2671","ncbi","Panicum virgatum","Eukaryota"
"2693","ncbi","Paramecium biaurelia","Eukaryota"
"2696","ncbi","Parastrongyloides trichosuri","Eukaryota"
"2697","ncbi","Paratrimastix pyriformis","Eukaryota"
"2703","ncbi","Paulinella chromatophora","Eukaryota"
"2704","ncbi","Paulinella longichromatophora","Eukaryota"
"2705","ncbi","Paulinella micropora","Eukaryota"
"2716","ncbi","Pemphredon lugens","Eukaryota"
"2717","ncbi","Penicillium brasilianum","Eukaryota"
"2723","ncbi","Pericapritermes nitobei","Eukaryota"
"2724","ncbi","Periplaneta americana","Eukaryota"
