Ruminococcus gnavus
Ruminococcus torques
Saccharopolyspora hirsuta
Salinibacterium amurskyense
Salinispora tropica
Salinivibrio costicola
Salmonella enterica
Selenomonas noxia
Selenomonas ruminantium
Serratia marcescens
Serratia symbiotica
Sharpea azabuensis
Sharpea p-3329-23G2
Shewanella algae
Shewanella amazonensis
Shewanella benthica
Shewanella hanedai
Shewanella pacifica
Shinella granuli
Sorangium cellulosum
Sphingobacterium faecium
Sphingobacterium mizutaii
Sphingobacterium multivorum
Sphingobium xenophagum
Sphingobium yanoikuyae
Sphingomonas asaccharolytica
Sphingomonas azotifigens
Sphingomonas echinoides
Sphingomonas wittichii
Sphingomonas yabuuchiae
Sphingopyxis alaskensis
Spirochaeta aurantia
Spirochaeta thermophila
Spirulina subsalsa
Sporomusa polytropa
Sporosarcina aquimarina
Sporosarcina ginsengi
Staphylococcus aureus
Staphylococcus epidermidis
Staphylococcus equorum
Staphylococcus haemolyticus
Staphylococcus lugdunensis
Staphylococcus pettenkoferi
Staphylococcus sciuri
Staphylococcus succinus
Stenotrophomonas acidaminiphila
Stenotrophomonas geniculata
Stenotrophomonas retroflexus
Streptobacillus moniliformis
Streptococcus agalactiae
Streptococcus alactolyticus
Streptococcus anginosus
Streptococcus equi
Streptococcus infantis
Streptococcus luteciae
Streptococcus minor
Streptococcus sobrinus
Streptomyces aculeolatus
Streptomyces ahygroscopicus
Streptomyces atratus
Streptomyces lanatus
Streptomyces mashuensis
Streptomyces mirabilis
Streptomyces radiopugnans
Streptomyces reticuliscabiei
Streptomyces rubrolavendulae
Streptomyces scabrisporus
Streptosporangium pseudovulgare
Sulfobacillus thermosulfidooxidans
Sulfolobus metallicus
Sulfuricurvum kujiense
Sulfurimonas autotrophica
Symbiobacterium thermophilum
Syntrophomonas wolfei
Telmatospirillum siberiense
Tetragenococcus halophilus
Tetrathiobacter kashmirensis
Thalassobius mediterraneus
Thalassospira xiamenensis
Thermoanaerobacterium saccharolyticum
Thermoanaerobacter mathranii
Thermoanaerobacter uzonensis
Thermobispora bispora
Thermomonas fusca
Thermotoga lettingae
Thioploca ingrica
Thiothrix eikelboomii
Trabulsiella farmeri
Treponema amylovorum
Treponema azotonutricium
Treponema phagedenis
Treponema primitia
Treponema socranskii
Treponema sp5
Vagococcus salmoninarum
Variovorax paradoxus
Veillonella dispar
Veillonella parvula
Verrucosispora gifhornensis
Vibrio aestuarianus
Vibrio bacterium
Vibrio fortis
Vibrio ichthyoenteri
Vibrio metschnikovii
Vibrio rumoiensis
Vibrio shilonii
Virgibacillus halodenitrificans
Virgibacillus marismortui
Virgibacillus pantothenticus
Virgibacillus picturae
Virgisporangium ochraceum
Vulcanisaeta distributa
Weissella viridescens
Williamsia serinedens
Winogradskyella thalassocola
Xanthobacter autotrophicus
Xylanimicrobium pachnodae
Xylella fastidiosa
