"","db","query","superkingdom"
"231","ncbi","RBG-16-49-21",NA
"232","ncbi","RBG-16-58-14",NA
"233","ncbi","RCP1-48",NA
"234","ncbi","Rubeoparvulum","Bacteria"
"235","ncbi","Ruminiclostridium","Bacteria"
"236","ncbi","Ruminofilibacter","Bacteria"
"237","ncbi","S31",NA
"238","ncbi","s3t2d-1089",NA
"239","ncbi","S5-A14a",NA
"240","ncbi","Sanguibacteroides","Bacteria"
"241","ncbi","SBZC-1223",NA
"242","ncbi","SC103",NA
"243","ncbi","SCADC1-2-3",NA
"244","ncbi","SCGC-AB-539-J10",NA
"245","ncbi","SD04E11",NA
"246","ncbi","SDB",NA
"247","ncbi","SEEP-SRB1",NA
"248","ncbi","SEEP-SRB2",NA
"249","ncbi","SEEP-SRB4",NA
"250","ncbi","Sh765B-TzT-35",NA
"251","ncbi","SH-PL14",NA
"252","ncbi","Sideroxydans","Bacteria"
"253","ncbi","SM1A02",NA
"254","ncbi","SM23-31",NA
"255","ncbi","SN8",NA
"256","ncbi","SP3-e08",NA
"257","ncbi","SS1-B-09-64",NA
"258","ncbi","ST-3K26",NA
"259","ncbi","SV1-3",NA
"260","ncbi","SWB02",NA
"261","ncbi","Syner-01",NA
"262","ncbi","SZB85",NA
"263","ncbi","TG-45",NA
"264","ncbi","Thermopallium","Bacteria"
"265","ncbi","Thermopetrobacter","Bacteria"
"266","ncbi","Thioflexothrix","Bacteria"
"267","ncbi","TPD-58",NA
"268","ncbi","TSBb06",NA
"269","ncbi","TX1A-55",NA
"270","ncbi","Tyzzerella","Bacteria"
"271","ncbi","U29-B03",NA
"272","ncbi","UBA1819",NA
"273","ncbi","UBA6140",NA
"274","ncbi","UC5-1-2E3",NA
"275","ncbi","UCYN-C",NA
"276","ncbi","UKL13-1",NA
"277","ncbi","UTBCD1",NA
"278","ncbi","UTCFX1",NA
"279","ncbi","V38",NA
"280","ncbi","Verruc-01",NA
"281","ncbi","W15",NA
"282","ncbi","W5",NA
"283","ncbi","W5053",NA
"284","ncbi","wb1-A12",NA
"285","ncbi","wb1-P19",NA
