103748,Candidatus Phytoplasma,Candidatus Phytoplasma solani
103603,Candidatus Phytoplasma,Candidatus Phytoplasma solani
240200,Candidatus Aquiluna,Candidatus Aquiluna rubra
193099,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
174907,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
143071,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
104587,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
112157,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
188641,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
80823,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
15611,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
227250,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
111110,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
111089,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
69030,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
68906,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
1148063,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
1146474,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
4458513,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
4340957,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
1147020,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
1146973,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
1147176,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
4458512,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
4458514,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
821088,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
832586,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
552706,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
3966770,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
826605,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
826160,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
1621879,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
1621880,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
4462460,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
808775,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
809057,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
825950,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
4297347,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
110809,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
107828,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
99886,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
43247,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
20661,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
180924,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
109902,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
52099,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
50829,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
236556,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
110523,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
110757,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
574012,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
622698,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
263321,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
822993,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
257573,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
830018,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
161683,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
69655,Candidatus Phytoplasma,Candidatus Phytoplasma witches-broom
4294678,Candidatus Regiella,Candidatus Regiella insecticola
4378761,Candidatus Regiella,Candidatus Regiella insecticola
4367604,Candidatus Regiella,Candidatus Regiella insecticola
108266,Candidatus Regiella,Candidatus Regiella insecticola
4485339,Candidatus Regiella,Candidatus Regiella insecticola
143107,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
141138,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
141933,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
143675,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
102235,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
102080,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
105735,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
100837,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
100210,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
99896,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
99736,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
30247,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
26266,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
