"","db","query","superkingdom"
"1063","ncbi","Aspergillus niger","Eukaryota"
"1069","ncbi","Aureobasidium melanogenum","Eukaryota"
"1070","ncbi","Austrofundulus limnaeus","Eukaryota"
"1185","ncbi","Beta vulgaris","Eukaryota"
"1193","ncbi","Bithynia siamensis","Eukaryota"
"1195","ncbi","Blaberus atropos","Eukaryota"
"1196","ncbi","Blaberus craniifer","Eukaryota"
"1197","ncbi","Blattella germanica","Eukaryota"
"1204","ncbi","Bombus terrestris","Eukaryota"
"1217","ncbi","Bouteloua dactyloides","Eukaryota"
"1232","ncbi","Bragasellus molinai","Eukaryota"
"1233","ncbi","Bragasellus peltatus","Eukaryota"
"1234","ncbi","Branchiostoma floridae","Eukaryota"
"1241","ncbi","Brassica napus","Eukaryota"
"1242","ncbi","Brassica oleracea","Eukaryota"
"1243","ncbi","Brassica rapa","Eukaryota"
"1253","ncbi","Brugia timori","Eukaryota"
"1264","ncbi","Caenorhabditis brenneri","Eukaryota"
"1265","ncbi","Caenorhabditis elegans","Eukaryota"
"1266","ncbi","Caenorhabditis remanei","Eukaryota"
"1267","ncbi","Calanus glacialis","Eukaryota"
"1274","ncbi","Calligrapha confluens","Eukaryota"
"1285","ncbi","Camelus dromedarius","Eukaryota"
"1289","ncbi","Capra hircus","Eukaryota"
"1290","ncbi","Capsicum annuum","Eukaryota"
"1294","ncbi","Castanea mollissima","Eukaryota"
"1305","ncbi","Cenchrus americanus","Eukaryota"
"1308","ncbi","Cephus cinctus","Eukaryota"
"1309","ncbi","Ceratina chalybea","Eukaryota"
"1310","ncbi","Chaetosphaeridium globosum","Eukaryota"
"1318","ncbi","Chironomus riparius","Eukaryota"
"1323","ncbi","Chlamydomonas debaryana","Eukaryota"
"1325","ncbi","Chlorocebus sabaeus","Eukaryota"
"1330","ncbi","Chromera velia","Eukaryota"
"1350","ncbi","Cimex lectularius","Eukaryota"
"1351","ncbi","Ciona intestinalis","Eukaryota"
"1354","ncbi","Citrus maxima","Eukaryota"
"1355","ncbi","Cladosiphon okamuranus","Eukaryota"
"1357","ncbi","Clavigralla tomentosicollis","Eukaryota"
"1359","ncbi","Clonorchis sinensis","Eukaryota"
"1412","ncbi","Coptotermes gestroi","Eukaryota"
"1414","ncbi","Corchorus olitorius","Eukaryota"
"1415","ncbi","Coregonus clupeaformis","Eukaryota"
"1416","ncbi","Coregonus lavaretus","Eukaryota"
"1435","ncbi","Coturnix japonica","Eukaryota"
"1443","ncbi","Cryptocercus wrighti","Eukaryota"
"1512","ncbi","Cylindrotheca closterium","Eukaryota"
"1513","ncbi","Cymbella subturgidula","Eukaryota"
"1516","ncbi","Dactylopius coccus","Eukaryota"
"1518","ncbi","Danio rerio","Eukaryota"
"1519","ncbi","Daphnia magna","Eukaryota"
"1529","ncbi","Deladenus siricidicola","Eukaryota"
"1532","ncbi","Dendrocerus carpenteri","Eukaryota"
"1566","ncbi","Diabrotica virgifera","Eukaryota"
"1567","ncbi","Diachasma alloeum","Eukaryota"
"1573","ncbi","Dictyostelium deminutivum","Eukaryota"
"1574","ncbi","Dictyostelium polycarpum","Eukaryota"
"1577","ncbi","Dirofilaria immitis","Eukaryota"
"1603","ncbi","Drosophila biarmipes","Eukaryota"
"1604","ncbi","Drosophila bipectinata","Eukaryota"
"1605","ncbi","Drosophila kikkawai","Eukaryota"
"1606","ncbi","Drosophila serrata","Eukaryota"
"1607","ncbi","Drosophila simulans","Eukaryota"
"1608","ncbi","Drosophila suzukii","Eukaryota"
"1627","ncbi","Entamoeba histolytica","Eukaryota"
"1644","ncbi","Entomophthora muscae","Eukaryota"
"1645","ncbi","Eogystia hippophaecolus","Eukaryota"
"1646","ncbi","Epeolus variegatus","Eukaryota"
"1647","ncbi","Ephemera danica","Eukaryota"
"1648","ncbi","Epinephelus fuscoguttatus","Eukaryota"
"1650","ncbi","Eriocheir sinensis","Eukaryota"
"1660","ncbi","Essigella californica","Eukaryota"
"1667","ncbi","Eucidaris tribuloides","Eukaryota"
"1670","ncbi","Eulimnogammarus violaceus","Eukaryota"
"1672","ncbi","Eutrema japonicum","Eukaryota"
"1680","ncbi","Extatosoma tiaratum","Eukaryota"
