Methanoculleus	thermophilicus		40:121*	orthographically incorrect name	(Rivard and Smith 1982) Maestrojuán et al. 1990		1		784213	777875
Methanohalobium	evestigatus		38:136	orthographically incorrect name	Zhilina and Zavarzin 1988	nom. corrig. IJSB 48:1073*	1		784215	777893
Methanohalophilus	oregonense		40:115*	orthographically incorrect name	Liu et al. 1990		1		784216	777905
Methanomicrococcus			50:1998*	orthographically incorrect name	Sprenger et al. 2000				517277	517063
Methanomicrococcus	blatticola		50:1998*	orthographically incorrect name	Sprenger et al. 2000		1		784217	777785
Methanospirillum	hungatii		30:318 (AL)	orthographically incorrect name	Ferry et al. 1974		1	ATCC 27890	777942	777941
Methanothermobacter	wolfei		50:51*	orthographically incorrect name	(Winter et al. 1985) Wasserfallen et al. 2000		1		784219	777948
Mitsuokella	multiacidus		33:438	orthographically incorrect name	(Mitsuoka et al. 1974) Shah and Collins 1983	nom. corrig. IJSB 48:1073*	2		784271	778274
Mycoplasma	phocacerebrale		41:43*	orthographically incorrect name	Giebel et al. 1991		2, t		784420	784423
Mycoplasma	phocarhinis		41:43*	orthographically incorrect name	Giebel et al. 1991		2, t		784422	784425
Natrialba	aegyptiaca		51:1140*	orthographically incorrect name	Hezayen et al. 2001		1		784451	778583
Nocardioides	fastidiosa		39:371	orthographically incorrect name	Collins and Stackebrandt 1989	nom. corrig. IJSB 48:1073*	1		784501	772886
Nocardiopsis	compostus		52:627*	orthographically incorrect name	Kämpfer et al. 2002		1		784507	778851
Nonomuraea	dietzii		51:1439*	orthographically incorrect name	Stackebrandt et al. 2001		1		784510	778889
Nonomuria			48:419*	orthographically incorrect name	Zhang et al. 1998	nom. corrig.			516186	516185
Nonomuria	africana		48:419*	orthographically incorrect name	(Preobrazhenskaya and Sveshnikova 1974) Zhang et al. 1998	nom. corrig.	1		784511	778885
Nonomuria	angiospora		48:419*	orthographically incorrect name	(Zhukova et al. 1968) Zhang et al. 1998	nom. corrig.	1		784512	778886
Nonomuria	fastidiosa		48:419*	orthographically incorrect name	(Soina et al. 1975) Zhang et al. 1998	nom. corrig.	1		784513	778890
Nonomuria	ferruginea		48:419*	orthographically incorrect name	(Meyer 1981) Zhang et al. 1998	nom. corrig.	1		784514	778891
Nonomuria	flexuosa		48:420*	orthographically incorrect name	(Meyer 1989) Zhang et al. 1998	nom. corrig.	1		778910	782623
Nonomuria	helvata		48:419*	orthographically incorrect name	(Nonomura and Ohara 1971) Zhang et al. 1998	nom. corrig.	1		784515	778893
Nonomuria	polychroma		48:419*	orthographically incorrect name	(Galatenko et al. 1987) Zhang et al. 1998	nom. corrig.	1		784516	778897
Nonomuria	pusilla		48:419*	orthographically incorrect name	(Nonomura and Ohara 1971) Zhang et al. 1998	nom. corrig.	1		784517	778898
Nonomuria	recticatena		48:419*	orthographically incorrect name	(Terekhova et al. 1987) Zhang et al. 1998	nom. corrig.	1		784518	778899
Nonomuria	roseola		48:420*	orthographically incorrect name	(Lavrova and Preobrazhenskaya 1975) Zhang et al. 1998	nom. corrig.	1		784519	778900
Nonomuria	roseoviolacea		48:420*	orthographically incorrect name	(Nonomura and Ohara 1971) Zhang et al. 1998	nom. corrig.	1		784520	787818
Nonomuria	rubra		48:420*	orthographically incorrect name	(Sveshnikova et al. 1969) Zhang et al. 1998	nom. corrig.	1		784521	778904
Nonomuria	salmonea		48:420*	orthographically incorrect name	(Preobrazhenskaya et al. 1975) Zhang et al. 1998	nom. corrig.	1		784522	778905
Nonomuria	spiralis		48:420*	orthographically incorrect name	(Meyer 1981) Zhang et al. 1998	nom. corrig.	1		784523	778907
Nonomuria	turkmeniaca		48:420*	orthographically incorrect name	(Terekhova et al. 1987) Zhang et al. 1998	nom. corrig.	1		784524	778909
Novosphingobium	aromaticivorum		51:1415*	orthographically incorrect name	(Balkwill et al. 1997) Takeuchi et al. 2001		1		784525	778912
Novosphingobium	roseae		51:1415*	orthographically incorrect name	(Takeuchi et al. 1995) Takeuchi et al. 2001		1		784526	778917
Novosphingobium	stygiae		51:1415*	orthographically incorrect name	(Balkwill et al. 1997) Takeuchi et al. 2001		1		784527	778918
Novosphingobium	subterraneae		51:1415*	orthographically incorrect name	(Balkwill et al. 1997) Takeuchi et al. 2001		1		784528	778920
Oceanomonas			51:71*	orthographically incorrect name	Brown et al. 2001				516198	516193
Oceanomonas	baumannii		51:71*	orthographically incorrect name	Brown et al. 2001		1		784532	778929
Oceanomonas	doudoroffii		51:71*	orthographically incorrect name	(Baumann et al. 1972) Brown et al. 2001		1		784533	778930
Paenibacillus	durum		44:824*; 47:569*	orthographically incorrect name	(Smith and Cato 1974) Collins et al. 1994	nom. corrig. IJSB 48:1073*	1		784553	779063
Pasteurella	bettii		40:151*	orthographically incorrect name	Sneath and Stevens 1990		2		784578	784579
Pasteurella	mairi		40:152*	orthographically incorrect name	Sneath and Stevens 1990		2, t		784588	779181
