Erwinia	persicinus		40:382*	orthographically incorrect name	Hao et al. 1990	nom. corrig. IJSB 48:1073*	1, p		783801	783800
Filobacillus	milensis		51:430*	orthographically incorrect name	Schlesner et al. 2001		1		783839	776205
Flavobacterium	halmephilium		30:300 (AL)	orthographically incorrect name	Elazari-Volcani 1940	name corrected IJSB 34:509* but misspelling retained in AL amended edition 1989	1		783848	776766
Frondicola			57:1181*	gen. nov. (VP), illegitimate name	Zhang et al. 2007				517576	517840
Frondicola	australicus		57:1181*	sp. nov. (VP), illegitimate name	Zhang et al. 2007		1	E1HC-02, JCM 13598, DSM 17894	786359	787711
Fusobacterium	plauti		30:303 (AL)	orthographically incorrect name	Seguin 1928		1	ATCC 29863, DSM 4000	783886	788422
Goodfellowia			56:1205*	gen. nov. (VP), illegitimate name	Labeda and Kroppenstedt 2006	the name is illegitimate because it is a later homonym of the  bird genus <i>Goodfellowia</i> Hartert 1903			515718	517776
Goodfellowia	coeruleoviolacea		56:1206*	comb. nov. (VP), illegitimate name, homotypic syn.	(Preobrazhenskaya and Therekova 1987) Labeda and Kroppenstedt 2006		1	DSM 43935, INA 3564, JCM 9110, NBRC 14988, NRRL B-24058, VKM Ac-1083	776572	787292
Gordona			39:371	orthographically incorrect name	(ex Tsukamura) Stackebrandt et al. 1989	nom. corrig.: IJSB 47:485*			515719	515720
Gordona	aichiensis		44:772*	orthographically incorrect name	(Tsukamura 1983) Klatte et al. 1994	nom. corrig.: IJSB 47:485*	2		783917	776577
Gordona	amarae		44:771*	orthographically incorrect name	(Lechevalier and Lechevalier 1974) Klatte et al. 1994	nom. corrig.: IJSB 47:485*	1		783918	776579
Gordona	bronchialis		39:371	orthographically incorrect name	(Tsukamura 1971) Stackebrandt et al. 1989	nom. corrig.: IJSB 47:485*	2		783919	776583
Gordona	hirsuta		46:879*	orthographically incorrect name	Klatte et al. 1996	nom. corrig.: IJSB 47:485*	1		783920	776587
Gordona	hydrophobica		45:547*	orthographically incorrect name	Bendinger et al. 1995	nom. corrig.: IJSB 47:485*	1		783921	776588
Gordona	rubropertinctus		39:371	orthographically incorrect name	(Hefferan 1904) Stackebrandt et al. 1989	nom. corrig.: IJSB 47:485*	1		783922	776598
Gordona	sputi		39:371	orthographically incorrect name	(Tsukamura 1978) Stackebrandt et al. 1989 emend. Riegel et al. 1994	nom. corrig.: IJSB 47:485*	2		783923	776603
Gordona	terrae		39:371	orthographically incorrect name	(Tsukamura 1971) Stackebrandt et al. 1989	nom. corrig.: IJSB 47:485*	2		783924	776604
Gordonia	rubropertinctus		39:371	orthographically incorrect name	(Hefferan 1904) Stackebrandt et al. 1989	nom. corrig. IJSB 48:1073*	1		783925	776598
Halobacterium	salinarium		30:307 (AL)	orthographically incorrect name	(Harrison and Kennedy 1922) Elazari-Volcani 1957	nom. corrig.: IJSB 46:347*	1	ATCC 33171, DSM 3754, NCMB 764, NRC 34002	783961	776711
Haloincola	saccharolytica		42:511	orthographically incorrect name	Zhilina et al. 1992	nom. corrig. IJSB 48:1073*	1		783966	776665
Haloincola	saccharolytica	saccharolytica	42:511	orthographically incorrect name	Zhilina et al. 1992 emend. Cayol et al. 1994	nom. corrig. IJSB 48:1073*	1		783967	776665
Haloincola	saccharolytica	senegalensis	44:810*	orthographically incorrect name	Cayol et al. 1994	nom. corrig. IJSB 48:1073*	1		783968	776666
Halomonas	marisflavae		51:1176*	orthographically incorrect name	Yoon et al. 2001		1		783973	787716
Halomonas	pantelleriense		47:601	orthographically incorrect name	Romano et al. 1997	nom. corrig. IJSB 48:1073*	1		783974	776783
Halomonas	variabilis		46:556*	comb. nov. (VP), rejected name, homotypic syn.	(Fendrich 1989) Dobson and Franzmann 1996	rejection: (Opinion 93., Judicial Commission of the International Committee on Systematics of Prokaryotes, IJSEM 64:3588-3589)	1	DSM 3051, III	776789	776833
Halorubrobacterium	coriensis		46:625	orthographically incorrect name	Kamekura and Dyall-Smith 1996	name corrected on the occasion of validation	1		783975	776808
Hyphomicrobium	facilis		39:495	orthographically incorrect name	Hirsch 1989	nom. corrig. IJSB 48:1073*	1		784031	784028
Hyphomicrobium	facilis	facilis	39:495	orthographically incorrect name	Hirsch 1989	nom. corrig. IJSB 48:1073*	1		784032	776973
Hyphomicrobium	facilis	tolerans	39:495	orthographically incorrect name	Hirsch 1989	nom. corrig. IJSB 48:1073*	1		784033	784029
Hyphomicrobium	facilis	ureaphilum	39:495	orthographically incorrect name	Hirsch 1989	nom. corrig. IJSB 48:1073*	1		776974	784030
Ketogulonigenium			51:1068*	orthographically incorrect name	Urbance et al. 2001				517259	517258
Ketogulonigenium	robustum		51:1069*	orthographically incorrect name	Urbance et al. 2001		1		784045	784043
Ketogulonigenium	vulgare		51:1069*	orthographically incorrect name	Urbance et al. 2001		1		784046	784044
Kitasatosporia			33:672	orthographically incorrect name	Omura et al. 1983				515889	517119
Kitasatosporia	cystarginea		42:327	orthographically incorrect name	Kusakabe and Isono 1992	nom. corrig.	1		777137	777120
Kitasatosporia	griseola		35:535	orthographically incorrect name	Takahashi et al. 1985	nom. corrig.	1		777138	777122
Kitasatosporia	mediocidica		38:287*	orthographically incorrect name	Labeda 1988	nom. corrig.	1		777140	777124
